"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"phq9_4_m","month_q","","radio","Sentirsi stanco/a o avere poca energia","0, Mai | 1, Alcuni giorni | 2, Oltre la metà dei giorni | 3, Quasi ogni giorno","","","","","","","y","","","phq9_m","",""
"phq9_5_m","month_q","","radio","Scarso appetito o mangiare troppo","0, Mai | 1, Alcuni giorni | 2, Oltre la metà dei giorni | 3, Quasi ogni giorno","","","","","","","y","","","phq9_m","",""
"phq9_6_m","month_q","","radio","Scarsa opinione di sé, sensazione di essere un/una fallito/a o di aver deluso te stesso/a o i tuoi familiari","0, Mai | 1, Alcuni giorni | 2, Oltre la metà dei giorni | 3, Quasi ogni giorno","","","","","","","y","","","phq9_m","",""
"phq9_7_m","month_q","","radio","Difficoltà a concentrarsi, per esempio leggere il giornale o guardare la TV","0, Mai | 1, Alcuni giorni | 2, Oltre la metà dei giorni | 3, Quasi ogni giorno","","","","","","","y","","","phq9_m","",""
"phq9_8_m","month_q","","radio","Muoversi o parlare così lentamente da essere notato da altre persone, o al contrario, essere così irrequieto/a o agitato/a da doverti muovere molto più del solito","0, Mai | 1, Alcuni giorni | 2, Oltre la metà dei giorni | 3, Quasi ogni giorno","","","","","","","y","","","phq9_m","",""
"phq9_9_m","month_q","","radio","Pensare che sarebbe meglio essere morto/a o di farti del male in qualche modo","0, Mai | 1, Alcuni giorni | 2, Oltre la metà dei giorni | 3, Quasi ogni giorno","","","","","","","y","","","phq9_m","",""
"phq9_difficulty_m","month_q","","radio","Quanto questi problemi le hanno reso difficile fare il suo lavoro/occuparsi delle cose/avere buoni rapporti?","0, Per niente difficile | 1, Abbastanza difficile | 2, Molto difficile | 3, Estremamente difficile","","","","","","","y","","","","",""
"gad7_1_m","month_q","GAD-7 - Generalized Anxiety Disorder. Nelle ultime 2 settimane, con quale frequenza ti ha dato fastidio ciascuno dei seguenti problemi?","radio","Sentirsi nervoso/a, ansioso/a o teso/a","0, Mai | 1, Alcuni giorni | 2, Oltre la metà dei giorni | 3, Quasi ogni giorno","","","","","","","y","","","gad7_m","",""
"gad7_2_m","month_q","","radio","Non riuscire a smettere di preoccuparsi o a tenere sotto controllo le preoccupazioni","0, Mai | 1, Alcuni giorni | 2, Oltre la metà dei giorni | 3, Quasi ogni giorno","","","","","","","y","","","gad7_m","",""
"gad7_3_m","month_q","","radio","Preoccuparsi troppo per varie cose","0, Mai | 1, Alcuni giorni | 2, Oltre la metà dei giorni | 3, Quasi ogni giorno","","","","","","","y","","","gad7_m","",""
"gad7_4_m","month_q","","radio","Avere difficoltà a rilassarsi","0, Mai | 1, Alcuni giorni | 2, Oltre la metà dei giorni | 3, Quasi ogni giorno","","","","","","","y","","","gad7_m","",""
"gad7_5_m","month_q","","radio","Essere talmente irrequieto/a da far fatica a stare fermo/a","0, Mai | 1, Alcuni giorni | 2, Oltre la metà dei giorni | 3, Quasi ogni giorno","","","","","","","y","","","gad7_m","",""
"gad7_6_m","month_q","","radio","Infastidirsi o irritarsi facilmente","0, Mai | 1, Alcuni giorni | 2, Oltre la metà dei giorni | 3, Quasi ogni giorno","","","","","","","y","","","gad7_m","",""
"gad7_7_m","month_q","","radio","Avere paura che possa succedere qualcosa di terribile","0, Mai | 1, Alcuni giorni | 2, Oltre la metà dei giorni | 3, Quasi ogni giorno","","","","","","","y","","","gad7_m","",""
"fomo_1_m","month_q","FoMO Scale - Fear of Missing Out. Indica quanto ciascuna affermazione è vera per te.","radio","Ho paura che gli altri facciano esperienze più gratificanti di me","1, Per niente vero | 2, Poco vero | 3, Abbastanza vero | 4, Molto vero | 5, Estremamente vero","","","","","","","y","","","fomo_m","",""
"fomo_2_m","month_q","","radio","Mi preoccupo quando scopro che i miei amici si stanno divertendo senza di me","1, Per niente vero | 2, Poco vero | 3, Abbastanza vero | 4, Molto vero | 5, Estremamente vero","","","","","","","y","","","fomo_m","",""
"fomo_3_m","month_q","","radio","Ho paura che i miei amici facciano esperienze più gratificanti di me","1, Per niente vero | 2, Poco vero | 3, Abbastanza vero | 4, Molto vero | 5, Estremamente vero","","","","","","","y","","","fomo_m","",""
"fomo_4_m","month_q","","radio","Entro in ansia quando non so cosa i miei amici stiano facendo","1, Per niente vero | 2, Poco vero | 3, Abbastanza vero | 4, Molto vero | 5, Estremamente vero","","","","","","","y","","","fomo_m","",""
"fomo_5_m","month_q","","radio","È importante per me riuscire a capire su cosa i miei amici stanno scherzando","1, Per niente vero | 2, Poco vero | 3, Abbastanza vero | 4, Molto vero | 5, Estremamente vero","","","","","","","y","","","fomo_m","",""
"fomo_6_m","month_q","","radio","A volte mi chiedo se non spendo troppo tempo per stare al passo con quanto sta succedendo","1, Per niente vero | 2, Poco vero | 3, Abbastanza vero | 4, Molto vero | 5, Estremamente vero","","","","","","","y","","","fomo_m","",""
"fomo_7_m","month_q","","radio","Mi infastidisco quando perdo un'opportunità di incontrare i miei amici","1, Per niente vero | 2, Poco vero | 3, Abbastanza vero | 4, Molto vero | 5, Estremamente vero","","","","","","","y","","","fomo_m","",""
"fomo_8_m","month_q","","radio","Quando faccio qualcosa di bello è importante per me condividere la cosa online","1, Per niente vero | 2, Poco vero | 3, Abbastanza vero | 4, Molto vero | 5, Estremamente vero","","","","","","","y","","","fomo_m","",""
"fomo_9_m","month_q","","radio","Mi infastidisce quando manco ad un'occasione di gruppo","1, Per niente vero | 2, Poco vero | 3, Abbastanza vero | 4, Molto vero | 5, Estremamente vero","","","","","","","y","","","fomo_m","",""
"fomo_10_m","month_q","","radio","Quando vado in vacanza, cerco comunque di sapere cosa stanno facendo i miei amici","1, Per niente vero | 2, Poco vero | 3, Abbastanza vero | 4, Molto vero | 5, Estremamente vero","","","","","","","y","","","fomo_m","",""
"pss10_1_m","month_q","PSS-10 - Perceived Stress Scale. Nell'ultimo mese...","radio","...con che frequenza ti sei sentito fuori di te poiché è avvenuto qualcosa di inaspettato?","0, Mai | 1, Quasi mai | 2, A volte | 3, Abbastanza spesso | 4, Molto spesso","","","","","","","y","","","pss10_m","",""
"pss10_2_m","month_q","","radio","...con che frequenza hai avuto la sensazione di non essere in grado di avere controllo sulle cose importanti?","0, Mai | 1, Quasi mai | 2, A volte | 3, Abbastanza spesso | 4, Molto spesso","","","","","","","y","","","pss10_m","",""
"pss10_3_m","month_q","","radio","...con che frequenza ti sei sentito nervoso o 'stressato'?","0, Mai | 1, Quasi mai | 2, A volte | 3, Abbastanza spesso | 4, Molto spesso","","","","","","","y","","","pss10_m","",""
"pss10_4_m","month_q","","radio","...con che frequenza ti sei sentito fiducioso sulla tua capacità di gestire i tuoi problemi personali?","0, Mai | 1, Quasi mai | 2, A volte | 3, Abbastanza spesso | 4, Molto spesso","Item con scoring inverso (4-valore)","","","","","","y","","","pss10_m","",""
"pss10_5_m","month_q","","radio","...con che frequenza hai avuto la sensazione che le cose andassero come dicevi tu?","0, Mai | 1, Quasi mai | 2, A volte | 3, Abbastanza spesso | 4, Molto spesso","Item con scoring inverso (4-valore)","","","","","","y","","","pss10_m","",""
"pss10_6_m","month_q","","radio","...con che frequenza hai avuto la sensazione di non riuscire a star dietro a tutte le cose che dovevi fare?","0, Mai | 1, Quasi mai | 2, A volte | 3, Abbastanza spesso | 4, Molto spesso","","","","","","","y","","","pss10_m","",""
"pss10_7_m","month_q","","radio","...con che frequenza hai avvertito di essere in grado di controllare ciò che ti irrita nella tua vita?","0, Mai | 1, Quasi mai | 2, A volte | 3, Abbastanza spesso | 4, Molto spesso","Item con scoring inverso (4-valore)","","","","","","y","","","pss10_m","",""
"pss10_8_m","month_q","","radio","...con che frequenza hai sentito di padroneggiare la situazione?","0, Mai | 1, Quasi mai | 2, A volte | 3, Abbastanza spesso | 4, Molto spesso","Item con scoring inverso (4-valore)","","","","","","y","","","pss10_m","",""
"pss10_9_m","month_q","","radio","...con che frequenza sei stato arrabbiato per cose che erano fuori dal tuo controllo?","0, Mai | 1, Quasi mai | 2, A volte | 3, Abbastanza spesso | 4, Molto spesso","","","","","","","y","","","pss10_m","",""
"pss10_10_m","month_q","","radio","...con che frequenza hai avuto la sensazione che le difficoltà si accumulassero a tal punto da non poterle superare?","0, Mai | 1, Quasi mai | 2, A volte | 3, Abbastanza spesso | 4, Molto spesso","","","","","","","y","","","pss10_m","",""
"stl_compliance_m","month_q","Compliance STL (Solo Gruppo 2)","yesno","I Limiti ai Tempi di Utilizzo sono attualmente attivi su tutte le app social media?","","Mostrata solo per partecipanti del Gruppo 2 (STL Intervention). Self-report di compliance.","","","","","","","","","","",""
"continue_stl","month_q","Domanda di Uscita (Solo T4 e Gruppo 2)","yesno","Continuerai a usare gli strumenti di Screen Time Limits anche dopo la fine dello studio?","","Mostrata solo a T4 per partecipanti del Gruppo 2 (STL Intervention)","","","","","","","","","","",""
"bsmas_score_m","month_q","Punteggi Calcolati (Inviati dall'App)","text","Punteggio BSMAS mensile","","Somma items 1-6. Range: 6-30.","integer","6","30","","","","","","","",""
"phq9_score_m","month_q","","text","Punteggio PHQ-9 mensile","","Somma items 1-9. Range: 0-27.","integer","0","27","","","","","","","",""
"gad7_score_m","month_q","","text","Punteggio GAD-7 mensile","","Somma items 1-7. Range: 0-21.","integer","0","21","","","","","","","",""
"fomo_score_m","month_q","","text","Punteggio FoMO mensile","","Somma items 1-10. Range: 10-50.","integer","10","50","","","","","","","",""
"pss10_score_m","month_q","","text","Punteggio PSS-10 mensile","","Somma con reverse scoring items 4,5,7,8. Range: 0-40.","integer","0","40","","","","","","","",""
"usage_data_json_m1","month_q","Metadati M1","notes","Dati di utilizzo M1 (JSON)","","JSON con dati di utilizzo delle app social media raccolti dall'app al follow-up 1","","","","","","","","","","",""
"data_collection_m1","month_q","","text","Data completamento follow-up 1","","Formato: YYYY-MM-DD","date_ymd","","","","","","","","","",""
"usage_data_json_m2","month_q","Metadati M2","notes","Dati di utilizzo M2 (JSON)","","JSON con dati di utilizzo delle app social media raccolti dall'app al follow-up 2","","","","","","","","","","",""
"data_collection_m2","month_q","","text","Data completamento follow-up 2","","Formato: YYYY-MM-DD","date_ymd","","","","","","","","","",""
"usage_data_json_m3","month_q","Metadati M3","notes","Dati di utilizzo M3 (JSON)","","JSON con dati di utilizzo delle app social media raccolti dall'app al follow-up 3","","","","","","","","","","",""
"data_collection_m3","month_q","","text","Data completamento follow-up 3","","Formato: YYYY-MM-DD","date_ymd","","","","","","","","","",""
"usage_data_json_m4","month_q","Metadati M4","notes","Dati di utilizzo M4 (JSON)","","JSON con dati di utilizzo delle app social media raccolti dall'app al follow-up 4","","","","","","","","","","",""
"data_collection_m4","month_q","","text","Data completamento follow-up 4","","Formato: YYYY-MM-DD","date_ymd","","","","","","","","","",""
